product_id,parent_product_id,base_product_name,product_name,brand_id,brand_name,manufacturer,category_id,category_name,subcategory_id,subcategory_name,product_type,variations_or_target,priority,note,source_url,is_active,content_amount,flavor,scent,variant_source,split_status,needs_research,review_reason,verification_status,verified_source_url,verified_note,verified_at
product_0004_vf002,product_0004,銀のスプーン パウチ,銀のスプーン パウチ まぐろ 60g×12個,brand_066,銀のスプーン,ユニ・チャーム,cat_food,フード,subcat_002,ウェットフード,シリーズ,まぐろ・かつお・ささみ・ジュレ系,A,量販店・ECでの初期マスタ優先度高,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699634195.html,true,60g×12個,まぐろ,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699634195.html,公式商品ページでパウチの味・容量を確認,2026-07-08
product_0004_vf004,product_0004,銀のスプーン パウチ,銀のスプーン パウチ まぐろ・かつおにかつお節入り 60g×12個,brand_066,銀のスプーン,ユニ・チャーム,cat_food,フード,subcat_002,ウェットフード,シリーズ,まぐろ・かつお・ささみ・ジュレ系,A,量販店・ECでの初期マスタ優先度高,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699634195.html,true,60g×12個,まぐろ・かつおにかつお節入り,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699634195.html,公式商品ページでパウチの味・容量を確認,2026-07-08
product_0004_vf006,product_0004,銀のスプーン パウチ,銀のスプーン パウチ まぐろ・かつおにささみ入り 60g×12個,brand_066,銀のスプーン,ユニ・チャーム,cat_food,フード,subcat_002,ウェットフード,シリーズ,まぐろ・かつお・ささみ・ジュレ系,A,量販店・ECでの初期マスタ優先度高,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699634195.html,true,60g×12個,まぐろ・かつおにささみ入り,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699634195.html,公式商品ページでパウチの味・容量を確認,2026-07-08
product_0004_vf008,product_0004,銀のスプーン パウチ,銀のスプーン パウチ まぐろ・かつおにしらす入り 60g×12個,brand_066,銀のスプーン,ユニ・チャーム,cat_food,フード,subcat_002,ウェットフード,シリーズ,まぐろ・かつお・ささみ・ジュレ系,A,量販店・ECでの初期マスタ優先度高,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699634195.html,true,60g×12個,まぐろ・かつおにしらす入り,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/ginnospoon/products/food/4520699634195.html,公式商品ページでパウチの味・容量を確認,2026-07-08
product_0008_vf002,product_0008,AllWell 室内猫用,AllWell 室内猫用 フィッシュ味 800g(400g×2袋),brand_001,AllWell,ユニ・チャーム,cat_food,フード,subcat_001,ドライフード,シリーズ,室内猫向け,A,健康訴求フードとして登録推奨,https://jp.unicharmpet.com/ja/allwell/lineup.html,true,800g(400g×2袋),フィッシュ味,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/allwell/lineup.html,公式ラインアップで室内猫用の味・容量を確認,2026-07-08
product_0008_vf003,product_0008,AllWell 室内猫用,AllWell 室内猫用 フィッシュ味 1.6kg(400g×4袋),brand_001,AllWell,ユニ・チャーム,cat_food,フード,subcat_001,ドライフード,シリーズ,室内猫向け,A,健康訴求フードとして登録推奨,https://jp.unicharmpet.com/ja/allwell/lineup.html,true,1.6kg(400g×4袋),フィッシュ味,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/allwell/lineup.html,公式ラインアップで室内猫用の味・容量を確認,2026-07-08
product_0008_vf004,product_0008,AllWell 室内猫用,AllWell 室内猫用 フィッシュ味 2.5kg(500g×5袋),brand_001,AllWell,ユニ・チャーム,cat_food,フード,subcat_001,ドライフード,シリーズ,室内猫向け,A,健康訴求フードとして登録推奨,https://jp.unicharmpet.com/ja/allwell/lineup.html,true,2.5kg(500g×5袋),フィッシュ味,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/allwell/lineup.html,公式ラインアップで室内猫用の味・容量を確認,2026-07-08
product_0008_vf006,product_0008,AllWell 室内猫用,AllWell 室内猫用 チキン味 800g(400g×2袋),brand_001,AllWell,ユニ・チャーム,cat_food,フード,subcat_001,ドライフード,シリーズ,室内猫向け,A,健康訴求フードとして登録推奨,https://jp.unicharmpet.com/ja/allwell/lineup.html,true,800g(400g×2袋),チキン味,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/allwell/lineup.html,公式ラインアップで室内猫用の味・容量を確認,2026-07-08
product_0008_vf007,product_0008,AllWell 室内猫用,AllWell 室内猫用 チキン味 1.6kg(400g×4袋),brand_001,AllWell,ユニ・チャーム,cat_food,フード,subcat_001,ドライフード,シリーズ,室内猫向け,A,健康訴求フードとして登録推奨,https://jp.unicharmpet.com/ja/allwell/lineup.html,true,1.6kg(400g×4袋),チキン味,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/allwell/lineup.html,公式ラインアップで室内猫用の味・容量を確認,2026-07-08
product_0008_vf008,product_0008,AllWell 室内猫用,AllWell 室内猫用 チキン味 2.5kg(500g×5袋),brand_001,AllWell,ユニ・チャーム,cat_food,フード,subcat_001,ドライフード,シリーズ,室内猫向け,A,健康訴求フードとして登録推奨,https://jp.unicharmpet.com/ja/allwell/lineup.html,true,2.5kg(500g×5袋),チキン味,該当なし,official_or_maker_source_verified,verified_content_flavor_sku,false,,verified,https://jp.unicharmpet.com/ja/allwell/lineup.html,公式ラインアップで室内猫用の味・容量を確認,2026-07-08
