subcategory_id,subcategory_name,category_id,category_name,definition,app_usage,display_order,is_core_for_mvp
subcat_001,ドライフード,cat_food,フード,主食・総合栄養食のドライ商品/ドライ中心シリーズ,在庫管理・定期購入・容量別SKU追加,1,true
subcat_002,ウェットフード,cat_food,フード,缶・パウチ・カップ・スープなど水分量の多い主食/副食系,在庫管理・箱/パック単位の消費管理,2,true
subcat_003,フード総合シリーズ,cat_food,フード,ドライ/ウェット/おやつを横断する広いブランドシリーズで、シリーズ単位の登録に留めるもの,後続で商品タイプ別に分割推奨,3,false
subcat_004,療法食,cat_food,フード,獣医師指導や特定疾患ケアを前提にした療法食・ベテリナリー系,獣医師指導注意表示・通常フードと分ける,4,false
subcat_005,おやつ,cat_treat,おやつ・嗜好品,一般的なおやつ・ごほうび・嗜好品,消費頻度が高く再注文導線向き,5,true
subcat_006,機能性おやつ,cat_treat,おやつ・嗜好品,毛玉・水分補給・乳酸菌・皮膚被毛など機能訴求のおやつ,健康目的タグと組み合わせる,6,false
subcat_007,デンタルおやつ,cat_treat,おやつ・嗜好品,歯みがき・口臭・歯垢ケア訴求のおやつ,デンタルケア習慣と連動,7,false
subcat_008,猫砂（鉱物）,cat_litter_toilet,猫砂・トイレ,ベントナイト等の鉱物系猫砂,素材別フィルタ・交換サイクル管理,8,true
subcat_009,猫砂（紙）,cat_litter_toilet,猫砂・トイレ,紙系猫砂,素材別フィルタ・軽量/燃えるごみタグ,9,false
subcat_010,猫砂（木・ひのき）,cat_litter_toilet,猫砂・トイレ,木・ひのき・炭系の猫砂/チップ,素材別フィルタ・香り/消臭タグ,10,false
subcat_011,猫砂（おから）,cat_litter_toilet,猫砂・トイレ,おから・植物由来系猫砂,素材別フィルタ・トイレに流せる可否タグ,11,false
subcat_012,猫砂（シリカゲル）,cat_litter_toilet,猫砂・トイレ,シリカゲル系猫砂,素材別フィルタ・交換周期管理,12,false
subcat_013,システムトイレ用チップ/砂,cat_litter_toilet,猫砂・トイレ,システムトイレで使うチップ・サンド・砂,システムトイレ用消耗品として管理,13,true
subcat_014,システムトイレ用シート/マット,cat_litter_toilet,猫砂・トイレ,システムトイレの交換シート・マット,交換日通知・複数猫設定と連動,14,true
subcat_015,トイレ本体,cat_litter_toilet,猫砂・トイレ,本体セット・トレー等。厳密には消耗品ではないが関連商品として保持,初期設定/対応消耗品の紐づけ用,15,false
subcat_016,消臭・掃除用品,cat_care_cleaning,ケア・掃除,消臭剤・スプレー・掃除用品・トイレ周辺ケア,消臭剤/掃除用品の在庫管理,16,false
subcat_017,ウェットティッシュ,cat_care_cleaning,ケア・掃除,ペット用ウェットティッシュ・拭き取りシート,掃除・ケア消耗品として管理,17,false
subcat_018,デンタルケア用品,cat_care_cleaning,ケア・掃除,歯ブラシ・歯みがきシート・ジェル・ペースト等,歯みがき記録と連動,18,false
subcat_019,グルーミング用品,cat_care_cleaning,ケア・掃除,ブラシ・コーム・抜け毛ケア・爪切り等,ブラシ/爪切り等のケア備品,19,false
subcat_020,爪とぎ,cat_semi_consumable,半消耗品,爪とぎ・スクラッチャー系の交換/半消耗品,交換目安通知・半消耗品管理,20,false
subcat_021,おもちゃ,cat_semi_consumable,半消耗品,けりぐるみ・猫じゃらし等。消耗する遊具,消耗/買い替え候補,21,false
subcat_022,猫草・またたび,cat_treat,おやつ・嗜好品,猫草・またたび系,嗜好品・短周期消耗品,22,false
subcat_023,ミルク・栄養補助,cat_health,ヘルスケア・栄養補助,猫用ミルク・栄養補助飲料/食品,子猫/シニア/体調管理タグ,23,false
subcat_024,サプリメント,cat_health,ヘルスケア・栄養補助,サプリメント・乳酸菌・健康維持補助,健康目的タグ・投与記録と連動,24,false
subcat_025,その他ケア用品,cat_care_cleaning,ケア・掃除,上記に分類しにくいケア小物,未分類の受け皿。後続で分割推奨,25,false
