candidate_id,decision,reviewer,review_note,expected_issue_types,pet_group,target_species,target_scope,normalized_name,brand,category_id,subcategory_id,confidence,issue_details,suggested_actions,source,raw_title,source_url,image_url,jan_code,model_number
candidate-02084e652ebd02acb7ef8a3a,,,,target_species_unknown|variant_merge_uncertain,dog,,unconfirmed,SoulMate ベイクド&エアドライフード シーフード,ソウルメイト,dog_food,dog_dry_food,0.45,商品名・説明から具体的な対象種を確認できない。 / 分類・統合confidence=0.45,メーカー公式の商品説明で対象種を確認する。 / バリエーション差と統合先を人手で確認する。,rakuten_product_navi,SoulMate ベイクド&エアドライフード シーフード 40g,https://product.rakuten.co.jp/product/-/ae98d9ef7020120c32c74627a5962aa0/?rafcid=wsc_i_ps_73e738b0-b0b2-4c81-a75d-493b024af8f0,,0796548780060,
candidate-040b4b1d538c79c31983c998,,,,target_species_unknown|variant_merge_uncertain,dog,,unconfirmed,鹿肉 ウェットフード,小諸プレミアム,dog_food,dog_wet_food,0.45,商品名・説明から具体的な対象種を確認できない。 / 分類・統合confidence=0.45,メーカー公式の商品説明で対象種を確認する。 / バリエーション差と統合先を人手で確認する。,rakuten_product_navi,小諸プレミアム 鹿肉 ウェットフード,https://product.rakuten.co.jp/product/-/12834964f558920b93c6abc2c842e32e/?rafcid=wsc_i_ps_73e738b0-b0b2-4c81-a75d-493b024af8f0,https://r.r10s.jp/g/gran_img/im/PFO/UR6/A5U/NUL/e2dbadea4b017aba2ce2eca5aef9daf5.jpg?_ex=128x128,4580062290091,
candidate-0c4c96e02af749b2348f4d63,,,,target_species_unknown,dog,,unconfirmed,ロイヤルカナン SHN ミニ パピー ドライフード,ロイヤルカナン ジャポン,dog_food,dog_dry_food,0.45,商品名・説明から具体的な対象種を確認できない。,メーカー公式の商品説明で対象種を確認する。,rakuten_product_navi,ロイヤルカナン SHN ミニ パピー ドライフード 8kg,https://product.rakuten.co.jp/product/-/09695801faf023729d022429ea7c7298/?rafcid=wsc_i_ps_73e738b0-b0b2-4c81-a75d-493b024af8f0,https://r.r10s.jp/g/gran_img/sh/PEE/NND/9SX/STH/7138e011ee7ddf6438608de5fd943ef5.jpg?_ex=128x128,3182550793049,
candidate-10b98faa0f96ac0d3126ac80,,,,target_species_unknown|variant_merge_uncertain,dog,,unconfirmed,フラックス 食事療法食,ナチュラルハーベスト,therapeutic_food,therapeutic_food,0.45,商品名・説明から具体的な対象種を確認できない。 / 分類・統合confidence=0.45,メーカー公式の商品説明で対象種を確認する。 / バリエーション差と統合先を人手で確認する。,rakuten_product_navi,フラックス 食事療法食(6kg),https://product.rakuten.co.jp/product/-/f73878a899561e4f9dc6b601824f0a36/?rafcid=wsc_i_ps_73e738b0-b0b2-4c81-a75d-493b024af8f0,https://r.r10s.jp/g/gran_img/ko/PFC/758/WNU/LXT/4d16e242c711d941598e0816b34a250c.jpg?_ex=128x128,4521254013104,10803
candidate-119bf369a4900b6ddaff06cd,,,,target_species_unknown|variant_merge_uncertain,dog,,unconfirmed,PURSUIT OF LOVE 生いきいき ウェットフード,株式会社plust,dog_food,dog_wet_food,0.45,商品名・説明から具体的な対象種を確認できない。 / 分類・統合confidence=0.45,メーカー公式の商品説明で対象種を確認する。 / バリエーション差と統合先を人手で確認する。,rakuten_product_navi,PURSUIT OF LOVE 生いきいき ウェットフード 100g,https://product.rakuten.co.jp/product/-/ec6b383f49298ffbe289cad5e1224ef2/?rafcid=wsc_i_ps_73e738b0-b0b2-4c81-a75d-493b024af8f0,,4573106001029,POL001029
candidate-17ca0109835347ed9cfa4d77,,,,target_species_unknown,cat,,unconfirmed,CIAO 香り立つクランキーちゅ~る和え毛玉ケア まぐろアソート,いなば,cat_treat,subcat_006,0.45,商品名・説明から具体的な対象種を確認できない。,メーカー公式の商品説明で対象種を確認する。,rakuten_product_navi,CIAO 香り立つクランキーちゅ～る和え毛玉ケア まぐろアソート(18g×10袋入),https://product.rakuten.co.jp/product/-/61058f6cb85f19f98735407037ac8b50/?rafcid=wsc_i_ps_73e738b0-b0b2-4c81-a75d-493b024af8f0,https://r.r10s.jp/g/gran_img/ko/PFU/U3M/F39/O3V/579cea0f45745354436fb146c2caa032.jpg?_ex=128x128,4901133451652,
candidate-1bd604e93c0504eec9c31a60,,,,target_species_unknown|variant_merge_uncertain,dog,,unconfirmed,ロイヤルカナン ブリード ヘルス ニュートリション ドライフード プードル,ロイヤルカナン ジャポン,dog_food,dog_dry_food,0.45,商品名・説明から具体的な対象種を確認できない。 / 分類・統合confidence=0.45,メーカー公式の商品説明で対象種を確認する。 / バリエーション差と統合先を人手で確認する。,rakuten_product_navi,ロイヤルカナン ブリード ヘルス ニュートリション ドライフード プードル 3kg,https://product.rakuten.co.jp/product/-/4f30641193d007222be26b913528265e/?rafcid=wsc_i_ps_73e738b0-b0b2-4c81-a75d-493b024af8f0,https://r.r10s.jp/g/gran_img/mf/PEE/NI2/33E/UBW/ce3f6c6395bf5f1e411e9c6c97f8bcd9.jpg?_ex=128x128,3182550824545,3182550824545
candidate-1cc15de3fe62f42e512e0a8a,,,,target_species_unknown|variant_merge_uncertain,dog,,unconfirmed,ロイヤルカナン ブリード ヘルス ニュートリション ドライフード,ロイヤルカナン ジャポン,dog_food,dog_dry_food,0.45,商品名・説明から具体的な対象種を確認できない。 / 分類・統合confidence=0.45,メーカー公式の商品説明で対象種を確認する。 / バリエーション差と統合先を人手で確認する。,rakuten_product_navi,ロイヤルカナン ブリード ヘルス ニュートリション ドライフード 1.5kg,https://product.rakuten.co.jp/product/-/6bbe731d435b516c597cb6ee5f2b5f29/?rafcid=wsc_i_ps_73e738b0-b0b2-4c81-a75d-493b024af8f0,https://r.r10s.jp/g/gran_img/mf/PEE/NI3/SPF/O0R/8fcdc8816168bc0ea93597f11bbe939c.jpg?_ex=128x128,3182550824538,3182550824538
candidate-21a6e3017d90f0790d5708dc,,,,target_species_unknown|variant_merge_uncertain,dog,,unconfirmed,セミモイストフード 国産鶏肉&馬肉,ミシュワン,semi_moist_food,semi_moist_food,0.45,商品名・説明から具体的な対象種を確認できない。 / 分類・統合confidence=0.45,メーカー公式の商品説明で対象種を確認する。 / バリエーション差と統合先を人手で確認する。,rakuten_product_navi,ミシュワン セミモイストフード 国産鶏肉＆馬肉(800g),https://product.rakuten.co.jp/product/-/b75feb08e0aad4ffb314b3f4c24a4e5d/?rafcid=wsc_i_ps_73e738b0-b0b2-4c81-a75d-493b024af8f0,https://r.r10s.jp/g/gran_img/ko/PFL/JYG/5LY/JH0/411e9c9b1dfe908a0aea898fa3ac5e0d.jpg?_ex=128x128,4570067420296,
candidate-23865addd83ce4c8f67c0b31,,,,target_species_unknown,dog,,unconfirmed,ペットライン プロフェッショナルバランス 超小粒 1歳まで子いぬ用,プロフェッショナル・バランス,dog_food,dog_dry_food,0.45,商品名・説明から具体的な対象種を確認できない。,メーカー公式の商品説明で対象種を確認する。,yahoo_shopping,ペットライン プロフェッショナルバランス 超小粒 1歳まで子いぬ用 4.8kg,https://store.shopping.yahoo.co.jp/kurosu/33130620ku.html,https://item-shopping.c.yimg.jp/i/j/kurosu_33130620ku,4902418059549,
